timestamp,cache_hit,cache_miss,s_fetch,n_object,thread_queue_len,threads
19:46:13,2295082,230488,230488,11,0,379
19:46:18,2295142,230489,230489,12,0,379
19:46:23,2295231,230490,230490,13,0,379
19:46:29,2295239,230490,230490,13,0,374
19:46:34,2295288,230491,230491,14,0,370
19:46:39,2295288,230491,230491,14,0,370
19:46:44,2295288,230491,230491,14,0,370
19:46:49,2295288,230491,230491,14,0,370
19:46:54,2295360,230494,230494,9,0,370
19:47:00,2295360,230494,230494,9,0,370
19:47:05,2295408,230496,230496,11,0,370
19:47:10,2295432,230497,230497,12,0,370
19:47:15,2295456,230498,230498,13,0,370
19:47:20,2295521,230498,230498,13,0,370
19:47:25,2295586,230498,230498,14,0,370
19:47:30,2295680,230499,230499,14,0,367
19:47:36,2295680,230499,230499,14,0,364
19:47:41,2295680,230499,230499,14,0,364
19:47:46,2295680,230499,230499,14,0,364
19:47:51,2295680,230499,230499,14,0,364
19:47:56,2295728,230501,230501,8,0,364
19:48:01,2295752,230502,230502,9,0,364
19:48:07,2295752,230502,230502,9,0,364
19:48:12,2295800,230504,230504,11,0,364
19:48:17,2295848,230506,230506,13,0,362
19:48:22,2295848,230506,230506,13,0,356
19:48:27,2295946,230506,230506,13,0,351
19:48:32,2296072,230507,230507,14,0,346
19:48:37,2296072,230507,230507,14,0,341
19:48:43,2296072,230507,230507,14,0,336
19:48:48,2296144,230510,230510,9,0,331
19:48:53,2296144,230510,230510,9,0,325
19:48:58,2296168,230511,230511,10,0,320
19:49:03,2296216,230513,230513,12,0,315
19:49:08,2296240,230514,230514,13,0,311
19:49:14,2296240,230514,230514,13,0,311
19:49:19,2296383,230514,230514,13,0,311
19:49:24,2296464,230515,230515,14,0,309
19:49:29,2296464,230515,230515,14,0,304
19:49:34,2296464,230515,230515,14,0,298
19:49:39,2296464,230515,230515,14,0,293
19:49:44,2296536,230518,230518,9,0,293
19:49:50,2296536,230518,230518,9,0,293
19:49:55,2296584,230520,230520,11,0,293
19:50:00,2296632,230522,230522,13,0,293
19:50:05,2296632,230522,230522,13,0,293
19:50:10,2296632,230522,230522,13,0,293
19:50:15,2296656,230523,230523,14,0,293
19:50:21,2296656,230523,230523,14,0,293
19:50:26,2296656,230523,230523,14,0,293
19:50:31,2296856,230523,230523,14,0,291
19:50:36,2296856,230523,230523,14,0,291
19:50:41,2296856,230523,230523,14,0,291
19:50:46,2296856,230523,230523,14,0,291
19:50:52,2296856,230523,230523,14,0,291
19:50:57,2296856,230523,230523,14,0,291
19:51:02,2296904,230525,230525,8,0,291
19:51:07,2296928,230526,230526,9,0,291
19:51:12,2297000,230529,230529,12,0,291
19:51:17,2297024,230530,230530,13,0,286
19:51:22,2297024,230530,230530,13,0,280
19:51:28,2297024,230530,230530,13,0,275
19:51:33,2297048,230531,230531,14,0,270
19:51:38,2297048,230531,230531,14,0,265
19:51:43,2297120,230531,230531,14,0,260
19:51:48,2297248,230531,230531,14,0,255
19:51:53,2297248,230531,230531,14,0,254
19:51:58,2297248,230531,230531,14,0,254
19:52:04,2297296,230533,230533,8,0,254
19:52:09,2297344,230535,230535,10,0,254
19:52:14,2297344,230535,230535,10,0,254
19:52:19,2297368,230536,230536,11,0,254
19:52:24,2297416,230538,230538,13,0,254
19:52:29,2297416,230538,230538,13,0,254
19:52:35,2297416,230538,230538,13,0,254
19:52:40,2297440,230539,230539,14,0,254
19:52:45,2297440,230539,230539,14,0,254
19:52:50,2297607,230539,230539,14,0,254
19:52:55,2297640,230539,230539,14,0,254
19:53:00,2297640,230539,230539,14,0,254
19:53:06,2297640,230539,230539,14,0,254
19:53:11,2297640,230539,230539,14,0,254
19:53:16,2297640,230539,230539,14,0,254
19:53:21,2297640,230539,230539,14,0,254
19:53:26,2297640,230539,230539,14,0,251
19:53:31,2297640,230539,230539,14,0,246
19:53:36,2297640,230539,230539,14,0,241
19:53:42,2297658,230541,230541,8,0,237
19:53:47,2297667,230542,230542,9,0,237
19:53:52,2297667,230542,230542,9,0,237
19:53:57,2297685,230544,230544,11,0,237
19:54:02,2297703,230546,230546,13,0,237
19:54:07,2297703,230546,230546,13,0,237
19:54:12,2297703,230546,230546,13,0,237
19:54:18,2297712,230547,230547,14,0,233
19:54:23,2297712,230547,230547,14,0,228
19:54:28,2297712,230547,230547,14,0,223
19:54:33,2297792,230547,230547,14,0,218
19:54:38,2297792,230547,230547,14,0,218
19:54:43,2297792,230547,230547,14,0,215
19:54:49,2297792,230547,230547,14,0,212
19:54:54,2297792,230547,230547,14,0,212
19:54:59,2297792,230547,230547,14,0,212
19:55:04,2297792,230547,230547,14,0,212
19:55:09,2297792,230547,230547,14,0,212
19:55:14,2297792,230547,230547,14,0,212
19:55:19,2297828,230551,230551,14,0,212
19:55:25,2297828,230551,230551,14,0,212
19:55:30,2297828,230551,230551,14,0,212
19:55:35,2297828,230551,230551,9,0,212
19:55:40,2297837,230552,230552,6,0,212
19:55:45,2297864,230555,230555,7,0,212
19:55:50,2297873,230556,230556,8,0,212
19:55:55,2297873,230556,230556,8,0,212
19:56:01,2297873,230556,230556,8,0,212
19:56:06,2297901,230558,230558,10,0,212
19:56:11,2297910,230559,230559,11,0,212
19:56:16,2297919,230560,230560,12,0,212
19:56:21,2297928,230561,230561,8,0,212
19:56:26,2297937,230562,230562,8,0,212
19:56:31,2297937,230562,230562,7,0,212
19:56:37,2297937,230562,230562,6,0,212
19:56:42,2297946,230563,230563,7,0,212
19:56:47,2297946,230563,230563,7,0,212
19:56:52,2297946,230563,230563,7,0,212
19:56:57,2297946,230563,230563,7,0,212
19:57:02,2297946,230563,230563,7,0,211
19:57:08,2297946,230563,230563,7,0,208
19:57:13,2297946,230563,230563,7,0,208
19:57:18,2297946,230563,230563,7,0,208
19:57:23,2297946,230563,230563,7,0,208
19:57:28,2297946,230563,230563,7,0,208
19:57:33,2297946,230563,230563,7,0,208
19:57:39,2297946,230563,230563,7,0,208
19:57:44,2297946,230563,230563,7,0,208
19:57:49,2297946,230563,230563,7,0,205
19:57:54,2297946,230563,230563,7,0,200
19:57:59,2297946,230563,230563,7,0,200
19:58:04,2297946,230563,230563,7,0,200
19:58:10,2297946,230563,230563,7,0,200
19:58:15,2297946,230563,230563,7,0,200
19:58:20,2297946,230563,230563,7,0,200
19:58:25,2297946,230563,230563,7,0,200
19:58:30,2297946,230563,230563,7,0,200
19:58:35,2297946,230563,230563,7,0,200
19:58:41,2297946,230563,230563,7,0,200
19:58:46,2297946,230563,230563,7,0,200
19:58:51,2297946,230563,230563,7,0,200
19:58:56,2297946,230563,230563,7,0,200
