image,phase,client_id,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
python,1_cold_A,7,34.358,410464994,sha256:9da421ddeb65,22.3289,67778971,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:a793e3c6bce8,34.3395,236030458,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:10c3183ecaa6,4.2225,6085049,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:15991188a884,9.9779,25656055,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:5142ad1c6011,0.0592,250,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:299c82f5afaa,0.0217,6525,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:866771c43bf5,17.5808,49293124,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:ed881fbf1b07,5.6954,25614562,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:9da421ddeb65,22.3262,67778971,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:a793e3c6bce8,34.3371,236030458,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:10c3183ecaa6,4.2205,6085049,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:15991188a884,9.9758,25656055,200,unknown
python,1_cold_A,8,34.358,410464994,sha256:5142ad1c6011,0.0570,250,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:299c82f5afaa,0.0199,6525,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:866771c43bf5,17.5782,49293124,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:ed881fbf1b07,5.6928,25614562,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:9da421ddeb65,22.3240,67778971,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:a793e3c6bce8,34.3348,236030458,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:10c3183ecaa6,4.2185,6085049,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:15991188a884,9.9734,25656055,200,unknown
python,1_cold_A,9,34.358,410464994,sha256:5142ad1c6011,0.0547,250,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:299c82f5afaa,0.0473,6525,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:866771c43bf5,1.4298,49293124,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:ed881fbf1b07,0.7834,25614562,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:9da421ddeb65,2.0611,67778971,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:a793e3c6bce8,3.1396,236030458,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:10c3183ecaa6,0.2995,6085049,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:15991188a884,1.3639,25656055,200,unknown
python,2_warm_A,0,3.144,410464994,sha256:5142ad1c6011,0.0445,250,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:299c82f5afaa,0.0443,6525,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:866771c43bf5,1.5241,49293124,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:ed881fbf1b07,0.7616,25614562,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:9da421ddeb65,1.8117,67778971,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:a793e3c6bce8,3.1406,236030458,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:10c3183ecaa6,0.1481,6085049,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:15991188a884,1.3257,25656055,200,unknown
python,2_warm_A,1,3.147,410464994,sha256:5142ad1c6011,0.0419,250,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:299c82f5afaa,0.0417,6525,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:866771c43bf5,1.9033,49293124,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:ed881fbf1b07,0.7256,25614562,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:9da421ddeb65,1.8019,67778971,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:a793e3c6bce8,3.1360,236030458,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:10c3183ecaa6,0.1680,6085049,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:15991188a884,0.8323,25656055,200,unknown
python,2_warm_A,2,3.145,410464994,sha256:5142ad1c6011,0.0398,250,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:299c82f5afaa,0.0394,6525,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:866771c43bf5,1.9192,49293124,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:ed881fbf1b07,0.8146,25614562,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:9da421ddeb65,1.9830,67778971,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:a793e3c6bce8,3.1468,236030458,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:10c3183ecaa6,0.2500,6085049,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:15991188a884,0.9343,25656055,200,unknown
python,2_warm_A,3,3.158,410464994,sha256:5142ad1c6011,0.0372,250,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:299c82f5afaa,0.0372,6525,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:866771c43bf5,1.5793,49293124,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:ed881fbf1b07,0.8623,25614562,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:9da421ddeb65,1.8712,67778971,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:a793e3c6bce8,3.1451,236030458,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:10c3183ecaa6,0.2889,6085049,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:15991188a884,0.8726,25656055,200,unknown
python,2_warm_A,4,3.158,410464994,sha256:5142ad1c6011,0.0351,250,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:299c82f5afaa,0.0348,6525,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:866771c43bf5,1.5431,49293124,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:ed881fbf1b07,0.8780,25614562,200,unknown
