Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:33:11     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:33:12     all    0.50    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   97.74
15:33:13     all    2.01    0.00    3.01    0.00    0.00    0.25    0.00    0.00    0.00   94.74
15:33:14     all    4.18    0.00    5.22    0.00    0.00    0.78    0.00    0.00    0.00   89.82
15:33:15     all    5.34    0.00    4.83    0.00    0.00    1.02    0.00    0.00    0.00   88.80
15:33:16     all    2.53    0.00    2.78    0.25    0.00    0.00    0.00    0.00    0.00   94.44
15:33:17     all    1.75    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   94.99
15:33:18     all    2.03    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.70
15:33:19     all   11.31    0.00    8.04    0.00    0.00    4.02    0.00    0.00    0.00   76.63
15:33:20     all    2.51    0.00    2.51    0.00    0.00    0.25    0.00    0.00    0.00   94.72
15:33:21     all    0.50    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:33:22     all    6.15    0.00    7.44    0.00    0.00    1.79    0.00    0.00    0.00   84.62
15:33:23     all    2.52    0.00    2.77    0.00    0.00    0.76    0.00    0.00    0.00   93.95
15:33:24     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:33:25     all    2.53    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:33:26     all    8.38    0.00    6.09    0.00    0.00    5.33    0.00    0.00    0.00   80.20
15:33:27     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:33:28     all    1.50    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   94.99
15:33:29     all    8.77    0.00    8.27    0.00    0.00    4.01    0.00    0.00    0.00   78.95
15:33:30     all    2.26    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   94.97
